, TMP , DPT , RH , UGRD , VGRD ,,,, GUST , TCDC , TCDC , TCDC , PRMSL , CPRAT , PRATE , APCP , ACPCP , CRAIN , CFRZR , CICEP , CPOFP , CSNOW , SNOD , LFTX , CAPE , HGT , HGT , HGT , HGT , HGT , ICEC , TMP , TMP , TMP , ABSV , ABSV , ABSV , ABSV , VIS , PEVPR , VWSH , SUNSD 
, 2_m_above_ground , 2_m_above_ground , 2_m_above_ground , 10_m_above_ground , 10_m_above_ground ,,,, surface , low_cloud_layer , middle_cloud_layer , high_cloud_layer , mean_sea_level , surface , surface , surface , surface , surface , surface , surface , surface , surface , surface , surface , surface , tropopause , 500_mb , 700_mb , 850_mb , 1000_mb , surface , 500_mb , 700_mb , 850_mb , 500_mb , 700_mb , 850_mb , 1000_mb , surface , surface , tropopause , surface 
 2019-02-04 03:00:00 ,12.676,9.785,82.5187,-11.3966,21.9265,24.7114,152.534,SE,33.1201,14,100,100,1013.11,0,5e-05,0.5625,0,1,0,0,0.699994,0,0,2.15316,32,10179.6,5548.62,2996.85,1451.53,110.847,0,-22.92,-6.65,3.822,2.55465e-05,0.000151224,0.000163347,-6.67693e-05,18300,27.3486,-0.000546298,0
 2019-02-04 06:00:00 ,12.449,9.071,80.2107,-7.93584,3.50068,8.67365,113.798,E,10.8525,8,100,100,1013.46,0,3e-05,0.625,0,1,0,0,65.1,0,0,2.2,0,10339.9,5551.96,3004.65,1455.9,112.935,0,-23.628,-5.878,4.126,8.66661e-05,2.61445e-05,8.70408e-05,-4.78888e-06,5200,2.41085,-0.00356454,0
 2019-02-04 09:00:00 ,14.229,11.05,81.2,-14.6388,8.47602,16.9156,120.067,SE,24.1207,0,100,100,1013.98,9e-06,1e-05,0.125,0.125,1,0,0,-21.6,0,0,-0.38362,209,10144.8,5559.09,3013.87,1463.06,117.283,0,-23.25,-6.751,4.53,4.22958e-05,5.12512e-05,0.000147131,0.000249235,19100,126.412,-0.00164384,3
 2019-02-04 12:00:00 ,14.043,11.25,83.2,-21.5322,7.76092,22.8882,109.816,E,34.2382,37,100,100,1013.26,0.000146,0.0002,4.25,3.1875,1,0,0,0.0999939,0,0,-0.63924,266,10047.1,5558.63,3012.71,1462.59,116.702,0,-23.315,-6.811,4.588,5.82198e-05,7.11899e-05,0.000101345,-0.000106861,9000,90.3536,-0.00111753,6
 2019-02-04 15:00:00 ,14.195,10.15,76.5,-14.0803,-12.7096,18.9681,47.9192,NE,27.728,67,100,100,1012.43,0.000195,0.00022,2.375,2.125,1,0,0,33.9,0,0,0.458437,106,9873.86,5556.5,3009.96,1460.8,112.33,0,-23.297,-6.826,4.644,0.000110283,4.01141e-05,0.000102196,0.000113988,4400,76.8563,-0.000274521,3
 2019-02-04 18:00:00 ,13.425,9.25,76,-12.0567,-12.146,17.114,44.7784,NE,19.4975,33,69,96,1012.96,9.9e-05,0.00011,2.4375,2.125,1,0,0,24.1,0,0,1.03824,27,9888.02,5565.08,3019.6,1468.83,116.634,0,-23.851,-6.942,5.522,5.11951e-05,1.90289e-06,-0.000159915,8.29234e-05,7200,14.2323,0.000499646,4.125
 2019-02-04 21:00:00 ,13.27,10.55,83.6,-7.69507,-20.5789,21.9706,20.4905,N,36.0277,0,6,100,1013.24,0,0,0,0,0,0,0,-50,0,0,-0.502667,128,9852.4,5571.99,3025.43,1472.35,114.198,0,-24.145,-6.307,6.171,6.06841e-05,4.44907e-05,0.000143481,0.000247408,24100,6.49986,-3.44299e-05,0
 2019-02-05 00:00:00 ,13.115,10.35,83.2,-13.4609,-16.4777,21.277,39.2355,NE,29.9114,0,49,100,1013.23,0,0,0,0,0,0,0,-50,0,0,-0.2,57,9774.58,5572.23,3025.5,1471.6,114.404,0,-24.113,-5.844,5.855,9.06191e-05,6.21046e-05,3.79503e-05,0.000204272,24100,8.95507,0.000998263,0
 2019-02-05 03:00:00 ,13.041,10.15,82.7,-8.82356,-18.8856,20.8452,25.0311,NE,27.736,0,98,100,1012.44,0,0,0,0,0,0,0,-50,0,0,0.447247,57,9648.85,5563.78,3019.35,1466.03,109.202,0,-23.826,-6.211,6.206,3.25532e-05,6.21665e-05,4.65152e-05,0.000226732,21900,13.3514,0.00250976,0
