0C_isotherm
1000_mb
10_m_above_ground
2_m_above_ground
500_mb
700_mb
850_mb
925_mb
high cloud layer
low cloud layer
middle cloud layer
mean_sea_level
surface
tropopause
ABSV	Absolute vorticity
ACPCP	Convective precipitation
APCP	Total precipitation
CAPE	Convective Available Potential Energy
CFRZR	Categorical freezing rain [yes=1; no=0]
CICEP	Categorical ice pellets (yes=1; no=0)
CIN		Convective inhibition
CPOFP	Percent of frozen precipitation
CPRAT	Convective Precipitation rate
CRAIN	Categorical rain (yes=1; no=0)
CSNOW	Categorical snow (yes=1; no=0)
DPT		Dew point temperature
GUST	Surface wind gust
HGT		Geopotential height
HLCY	Storm relative helicity
ICEC	Ice cover (ice=1, no ice=0)
ICSEV	Icing severity
LFTX	Surface lifted index
PEVPR	Potential evaporation rate
PRATE	Precipitation rate
PRES	Pressure
PRMSL	Pressure reduced to MSL
RH		Relative humidity
SNOD	Snow depth
SUNSD	Sunshine Duration
TCDC	Total cloud cover
TMP		Temperature
UGRD	u-component of wind
VGRD	v-component of wind
VIS		Visibility
VVEL	Vertical velocity (pressure)
VWSH	Vertical speed shear
WEASD 	Water equiv. of accum. snow depth
